"Sample","K_bio1","K_bio2","K_bio3","K_bio4","K_bio5","K_bio6","K_bio7","K_bio8","K_bio9","K_bio10","K_bio11","K_bio12","K_bio13","K_bio14","K_bio15","K_bio16","K_bio17","K_bio18","K_bio19","P_bio1","P_bio2","P_bio3","P_bio4","P_bio5","P_bio6","P_bio7","P_bio8","P_bio9","P_bio10","P_bio11","P_bio12","P_bio13","P_bio14","P_bio15","P_bio16","P_bio17","P_bio18","P_bio19"
"11",0.98232577500235,0.769493893724722,0.452793349687564,0.636578230458849,0.889071738088963,0.889777963162352,0.775954770904695,0.968170205261554,0.869940440964981,0.962296966222002,0.898392964892341,1.1039230819496,1.08600363313554,0.932592683166147,0.590153041971204,1.0783049998183,0.947581486893085,1.08956457778547,0.951780679523712,0.001,0.001,0.026,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"12",0.918637937814157,0.68526041637057,0.430583950972743,0.555413273132724,0.796561282806353,0.811750190944184,0.667254691675511,0.881742190333666,0.816296194289321,0.87635458098271,0.839789725678102,1.01788110632687,0.998765223921541,0.842532371097027,0.527082747319298,0.994774117612287,0.859325219861013,0.984157263961254,0.871463475798018,0.001,0.001,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"13",1.14541105957817,0.784213644830013,0.408179536982238,0.689700870470676,0.912520487816963,1.04892105007579,0.822706400236748,1.05426357426649,1.02907262325401,1.05381905897509,1.07116544336266,1.59729032843567,1.47393046586413,1.26809306825701,0.645409681872202,1.4924994323027,1.30341559623739,1.47891798527801,1.30732283682204,0.001,0.001,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"14",1.05143644286662,0.807472201398615,0.453051706570372,0.638681864656013,0.929766368805561,0.933731092137022,0.771644204458019,1.00872877193439,0.937057114111008,0.998762938466979,0.965694876890803,1.20002338272091,1.0942345743403,1.02949887716635,0.547167994718904,1.09285810614013,1.05077020268759,1.14370846599082,1.02560222472293,0.001,0.001,0.033,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.014,0.001,0.001,0.001,0.001
"15",0.987571300777391,0.743871686014013,0.400662763212413,0.596515485961838,0.90462148449393,0.857599670928493,0.727489806032255,0.984149058090093,0.849485177147579,0.983030505555017,0.879920699673265,1.12455190570797,1.09924376769169,0.918422257738348,0.577987043900576,1.096458123277,0.937519112481736,1.07804238314551,0.950332498466783,0.001,0.001,0.032,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"16",0.943925812861288,0.73335626829489,0.335724848533905,0.499447864875287,0.885367805858662,0.776134546408592,0.658289224357633,0.979528960247469,0.766565265172279,0.969168679409245,0.796713227448407,1.12109870277468,1.09732392125826,0.827315332134938,0.467830850080285,1.09774700907458,0.853426830584617,1.09422183418094,0.85750172307672,0.001,0.001,0.152,0.007,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.017,0.001,0.001,0.001,0.001
"17",1.03904477975114,0.792233331599171,0.396066619100283,0.535873117794476,0.983384017448747,0.837395859320802,0.711261096934546,1.08005226177631,0.833634140334187,1.06671360565525,0.865303132132386,1.03225742629652,0.999219125352381,0.87069442495536,0.490375761813539,0.985022375849055,0.884015723690969,1.05027513149212,0.866995969631177,0.001,0.001,0.046,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.014,0.001,0.001,0.001,0.001
"18",0.953771276945615,0.739037975407556,0.423667230525074,0.600304759031987,0.877946959322374,0.859173325468901,0.740604696127769,0.956120072604986,0.831880628663045,0.947497055053597,0.859589556708753,0.989215851852584,1.00170393496265,0.844091337773538,0.557140112209564,0.981463554228429,0.855481314600266,1.01809569136839,0.854296097335448,0.001,0.001,0.013,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"19",1.15458289912066,0.837257800791378,0.486807133374026,0.629242048361845,1.02678310933448,0.966398591937606,0.771758579036843,1.13144251283534,0.989623814646649,1.1212081129458,1.0173588750896,1.30532331477949,1.25636706211427,1.08837971661894,0.632236686229027,1.25515046382565,1.10511226458364,1.24499558623553,1.1084318086504,0.001,0.001,0.015,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"20",1.14199856278995,0.82567870160272,0.489568417087998,0.656880600138636,1.01709517585057,0.95251589227098,0.792608633405188,1.13022666102277,0.965435128599942,1.11149549713185,1.00175331132164,1.36345901148001,1.26125942610465,1.13855379543504,0.573863313147003,1.25474497042017,1.16247097220887,1.33373885486616,1.12418055688286,0.001,0.001,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.001,0.001,0.001,0.001
"21",0.984675982649918,0.740720146721296,0.376245373492551,0.576864431832069,0.831489326728403,0.885313604655486,0.720884298419682,0.929294582055929,0.852567289361276,0.928808284122792,0.889204673078866,1.26392325256371,1.17638973947246,1.011807125603,0.520065757510901,1.18377523838034,1.03576660291944,1.16688649025676,1.04136095107075,0.001,0.001,0.035,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"22",0.933446547213236,0.704103307510688,0.417808532624986,0.632857791958456,0.767781630956125,0.866560119875498,0.730622772369347,0.833771073480477,0.876866509237479,0.83586678115569,0.907166339208373,1.26090751173219,1.14704434816257,1.07333594944596,0.537094045498756,1.15473008125228,1.09919522296186,1.16067805732671,1.09287847696895,0.001,0.001,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001
"23",0.996976221669325,0.754107524923066,0.380822169572026,0.563660098458149,0.889850283580114,0.860465041335323,0.721631482050472,0.988863455745497,0.844239368299356,0.983026830053834,0.876400485206358,1.15065298704214,1.09151047687059,0.926949885051712,0.514283755249159,1.09123757022316,0.948419214846709,1.10162823634043,0.949820925863846,0.001,0.001,0.044,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001
"24",0.986658602112182,0.802836008623264,0.408066309384732,0.626341791320721,0.940866538505908,0.854485847063634,0.77490166081004,1.01443547585212,0.842997295413565,1.00247151531731,0.873930706949914,1.06476976417458,1.0342720555553,0.915390939069448,0.547037819548492,1.0182540792315,0.929157999540031,1.04752626928297,0.915795646304354,0.001,0.001,0.0870000000000001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.001,0.001,0.001,0.001
"25",1.0022925686454,0.710825457305418,0.41030189976484,0.557165213094907,0.871845897448386,0.873924877883736,0.687003698508785,0.960713485677127,0.866395614599446,0.958979188094735,0.891569105856272,1.11067982415381,1.08625075453924,0.902698325415623,0.541167265132942,1.0845615616871,0.91732115929626,1.086453334454,0.927554918602185,0.001,0.001,0.007,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"26",0.981131934822717,0.683961145415382,0.363805506651595,0.55716837501334,0.854820701697037,0.849164407664389,0.684841179520679,0.963498618976122,0.836535661650081,0.956750733028876,0.870963418637337,1.16423006492661,1.14311814419957,0.92458110295713,0.541310449487527,1.13211933650383,0.948824605310179,1.14734217160769,0.946562791848826,0.001,0.001,0.0860000000000001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001
"27",0.981916044543597,0.717738208553937,0.392387327612451,0.553729927791047,0.895930162300162,0.833655987955756,0.691557877316055,0.983433208047837,0.829534463490178,0.978234995991694,0.85687338668353,1.08835613683266,1.06014380166928,0.887539312030781,0.541717680473332,1.06042724593165,0.901702076356057,1.05161811740126,0.917051213943271,0.001,0.001,0.023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"28",0.999708368067952,0.728799174520628,0.38236965794463,0.547352994557129,0.908136316104393,0.839874560138762,0.692942568495494,0.997487358971143,0.839903511419853,0.989087583958132,0.868776480735832,1.1493517664233,1.10586337666467,0.911024042776313,0.522554157401231,1.10671173606339,0.931965937066118,1.12832121826936,0.93542022297127,0.001,0.001,0.039,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"29",0.966337229156683,0.759055258548526,0.439155193707981,0.656840887824373,0.842473582194035,0.884594406687928,0.761949301417653,0.911921203554103,0.885252369623283,0.910467222151864,0.914568123946627,1.19814217226785,1.11348001337025,1.02361565064332,0.578542602773881,1.11802663072107,1.04735186887458,1.12587477664687,1.04681544042972,0.001,0.001,0.053,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.001
"30",1.07145657655446,0.804598994593054,0.441768569580664,0.610282550861208,0.926971956650505,0.941605580114235,0.767782780050784,1.02462044005264,0.935665433413252,1.02287636731391,0.96525707402294,1.28946387637533,1.28499029908079,1.01269358980049,0.617361068060318,1.28875588303477,1.02918601675283,1.26077423497374,1.05117864721474,0.001,0.001,0.022,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"31",1.00961494954296,0.725433067194659,0.422670269593436,0.591373229603193,0.937888778823975,0.857496153493674,0.71941586875607,1.03630407653733,0.848225262706815,1.02373414528734,0.8792029116842,1.07973659340982,1.0717576000132,0.90424535600118,0.562093566569906,1.05168718391695,0.923867639410487,1.12789933748856,0.89932212627012,0.001,0.001,0.026,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"32",1.02829088791012,0.826104724865713,0.454093726470766,0.603278162258343,0.952468449711712,0.892354738168528,0.767917208581845,1.0389372751648,0.87944256782154,1.01969856704889,0.90730220227311,1.00760980489831,0.999208836683857,0.891214985458516,0.54890226407778,0.977178822982463,0.900603770076512,1.04385260297428,0.876597626134133,0.001,0.001,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"33",0.865093029613903,0.654470568679572,0.345709041545087,0.507562515381271,0.825941429430262,0.729991182660269,0.63443008520751,0.897191553864067,0.719288099866436,0.888181890133754,0.746686023607169,0.959591549072542,0.933996401433669,0.793147809858474,0.460259885045822,0.917834977128502,0.81100713897307,0.956361446755123,0.798968332826737,0.001,0.001,0.0730000000000001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.001
"34",0.973710721332075,0.732145420196546,0.386279986540274,0.532820102473425,0.908890694196722,0.819354650977387,0.684338633622265,0.984856344610764,0.814669277042862,0.975904737709104,0.84293499351149,1.11053533158776,1.04907273031355,0.896087485317465,0.490093884428018,1.04426337890046,0.918086088429537,1.07564455395762,0.90747390549905,0.001,0.001,0.044,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.001,0.001,0.001
"35",0.963027566636342,0.722000424952084,0.37373246012617,0.528853502884368,0.884620100490215,0.81495794587023,0.68526788841758,0.983823859161869,0.799597795641867,0.965807221039049,0.828856081423896,1.0270780647385,1.00375565283488,0.841630327224865,0.484921632744144,0.987652419338318,0.859886423092388,1.06051523935823,0.832492891975085,0.001,0.001,0.033,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001
"36",0.916387571654012,0.768923160210415,0.389318292106123,0.540499568526181,0.878795129593024,0.787956001172249,0.705948859615196,0.928539967146183,0.784008664872727,0.923038843776512,0.808869947620999,1.04552862399422,1.00734314643231,0.856666740432,0.51112877964009,1.00454492937839,0.873948503193186,1.00918698316477,0.875045874672975,0.001,0.001,0.029,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"37",1.08901868895817,0.858818046108125,0.496503507788444,0.676376712917204,1.0036855358991,0.939063938908534,0.818643441785787,1.07595968146273,0.95132516526212,1.06706321579054,0.979523684445039,1.12560349230143,1.0904302853942,0.993718861171682,0.612445811238073,1.07949818033244,1.00489723361724,1.09644808450983,1.00561932866152,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"38",0.935564087755478,0.667762581094871,0.358190586099402,0.560696843470864,0.784755825978908,0.838697720503695,0.677159881665883,0.888189899646117,0.821182255609219,0.881352400544072,0.854644332976481,1.12994236349624,1.05899679074737,0.936561438956641,0.4760375138272,1.04829712997617,0.961179336003904,1.10079864376416,0.933890428753018,0.001,0.001,0.026,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"39",0.962856074099122,0.753555338804456,0.382248408927394,0.543846702153994,0.878995039509331,0.81340777988165,0.695275755430839,0.977202936841146,0.804149247417232,0.966797806168244,0.836285881706428,1.09847896604489,1.1010453600076,0.883959944698173,0.539560852564644,1.08565203818697,0.901700433908099,1.12589286212013,0.89575809722882,0.001,0.001,0.071,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001
"40",0.976737768947308,0.742528388844417,0.378330294330431,0.563160580155325,0.862974642394242,0.836642305736763,0.706243770483175,0.961518625791244,0.828343526036559,0.949955938920756,0.863872973257591,1.12953552806432,1.05863438772887,0.946647279990397,0.488754428313693,1.05317410178922,0.965021953418759,1.1185398823279,0.940970116965269,0.001,0.001,0.04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.001
"41",0.863761870152427,0.603931531931923,0.347323545899841,0.478162799673524,0.756853346347153,0.745945688495453,0.598986787361751,0.847875017788625,0.737130181433656,0.840838424925315,0.762210016882016,0.891405525688697,0.909838827462805,0.738005950652989,0.471644043263605,0.888411334871026,0.752438449977385,0.935477958159173,0.741990362205557,0.001,0.001,0.034,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"42",1.03545168716174,0.752941468109891,0.441598370844982,0.610541313677839,0.869926180966633,0.911061269075605,0.73486569481767,0.969285332880266,0.920329735208788,0.959068738583085,0.953306073377987,1.27172899394863,1.15685113578954,1.08344451173037,0.524379864652798,1.15652434788159,1.10662817168612,1.24053842978673,1.06160201800582,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"43",1.01449804227451,0.73644208978024,0.438478023073394,0.592523524755308,0.889466973787714,0.879268968136908,0.709864255701895,0.980089041491655,0.888205160110951,0.978497440160785,0.915576041607136,1.27011460331087,1.2511631070466,1.01944201390814,0.616713580067118,1.25162928032399,1.04150528464504,1.22412771607856,1.05470478132668,0.001,0.001,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"44",0.946693209751371,0.69077144490307,0.408078647818345,0.563013556846899,0.857349817491449,0.81123902969443,0.677680009809783,0.942470450652139,0.813326337472049,0.939033287351915,0.840092536185519,1.08126424869212,1.06576308788411,0.881977796163104,0.545044717126922,1.06020580851555,0.898149968786448,1.05900848078891,0.908562336152284,0.001,0.001,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"45",0.928621513060226,0.677622423822927,0.316742405644929,0.545889663476372,0.842594111555202,0.785031606736124,0.688662945433442,0.956971455834226,0.766434409046641,0.937641887491458,0.802651009581221,1.13010573800945,1.04549121438331,0.90609072757609,0.459998047006177,1.04338154350231,0.93133048942546,1.08920052878386,0.898216310075982,0.001,0.001,0.071,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"46",1.08828722837167,0.74948275060348,0.40347315198573,0.633348559447603,0.870612060289402,0.982102733358574,0.747529984688601,0.997810704355084,0.974573127621309,0.988326366713146,1.01174267861073,1.39986787213052,1.26286241623188,1.220458890535,0.540952365932901,1.2547408930496,1.24896080333968,1.38348384729675,1.17830523735169,0.001,0.001,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.001
"47",1.12331900165081,0.757780614376172,0.429325756349424,0.649092529795368,0.922833509516008,0.978861478116178,0.766946415025988,1.05669913105237,0.981803690372397,1.04934839567796,1.02284816131041,1.35759513085663,1.2643804444196,1.13830621514433,0.575612546162459,1.26195361575298,1.16049844636404,1.25735949353352,1.16088681330911,0.001,0.001,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001
"48",1.03311970163355,0.749866883938833,0.381622777772134,0.56039780146557,0.915803667501181,0.874525324155789,0.712491008648661,1.02823314445185,0.870158699721768,1.01600182282521,0.90232381909285,1.07822889931159,1.02399585006533,0.903776982647809,0.503413908591641,1.01875716590875,0.920081329381374,1.04979591977173,0.916917534499899,0.001,0.001,0.053,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.011,0.001,0.001,0.001,0.001
"49",0.832190698273886,0.63318647379952,0.336470106067375,0.510575749890508,0.762965409146696,0.732419347090912,0.626663690078243,0.814949981742315,0.730128750965244,0.808500015257466,0.753746078491217,0.909919594757419,0.848990550083191,0.797169732783281,0.42196310303945,0.834447655126126,0.814623626007235,0.917518903226274,0.777202449174813,0.001,0.001,0.02,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001
"50",0.974678129345873,0.808784132156998,0.439287893258484,0.64470649052578,0.930207582147512,0.871954893963959,0.796414566818369,0.9907472546331,0.858032389623058,0.981306455936797,0.884066384259039,1.12534515165947,1.08396870874681,0.944023667819002,0.577122158239134,1.07930509358346,0.962298016312676,1.10417769558367,0.955520961667303,0.001,0.001,0.04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001
"51",1.06127049818365,0.741637653566604,0.396735542313961,0.637178616195996,0.883511632452675,0.92750726417477,0.762526395091811,1.00371209362056,0.922105866020392,1.0030023904179,0.960031766289022,1.28880852116819,1.24699973458,1.03173835475966,0.587110940695668,1.24549557534472,1.05581920872872,1.23177466736825,1.08143366800875,0.001,0.001,0.044,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"52",0.90583435042771,0.675574183721649,0.344116378544228,0.510179099022052,0.833551880326595,0.763129800171885,0.651092236650105,0.924704113035426,0.755232207764369,0.915897437966711,0.784603867316129,1.07448684766609,1.04248627714827,0.822974521579001,0.482290383803397,1.04388360829865,0.846203570137399,1.04168788539515,0.851711504795945,0.001,0.001,0.0840000000000001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.001,0.001,0.001
"53",1.02382278957546,0.742947253117851,0.373495609008294,0.606069914972774,0.890074837010452,0.886929764184287,0.738582106880786,0.994738169860899,0.881961697150243,0.990047496144422,0.919309916865865,1.3428111834752,1.24528555545387,1.07274154915882,0.562492269099978,1.25490089108231,1.10331595199093,1.22905824842085,1.11135726676965,0.001,0.001,0.065,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"54",1.04778809750641,0.833435459731105,0.467129570694709,0.657700902015723,0.970970374184438,0.911634233128986,0.801355822342134,1.06245465481861,0.898271910476793,1.04792154987973,0.93073724765779,1.1999454027053,1.17996699916958,0.979689844654057,0.603848305105502,1.16985809685263,1.00015356053877,1.1934665053697,0.995755160686016,0.001,0.001,0.041,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"55",0.934670419059549,0.684910727302879,0.358090761666993,0.554745323297048,0.806166567289584,0.816803754418577,0.680235020556456,0.897253017546217,0.809788347057921,0.894949840513338,0.842995967661416,1.19423382123423,1.10985224622033,0.951620476125646,0.493226963386138,1.11635229950399,0.977797376109472,1.11301975792858,0.979250982658933,0.001,0.001,0.035,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"56",0.984781152356144,0.737877038409453,0.427841863838361,0.586496544708731,0.920888335209736,0.848106590341244,0.720404746077989,1.00720895771008,0.839789778320084,0.993302069925058,0.86491710951568,1.04315868059169,1.03668020688606,0.887437120541023,0.5650546563774,1.0220668767099,0.90240384931085,1.06552869509882,0.893112508525609,0.001,0.001,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"57",1.11736728312795,0.803850147271268,0.44853383290531,0.632342596891949,0.983955394595233,0.955017320177175,0.769594335959902,1.07683774057378,0.968379713432732,1.07133173249484,0.997342608203706,1.21048857524356,1.14919852044448,1.01434848914192,0.57935651327695,1.15032325723854,1.03051232897946,1.16497105930234,1.04146974303129,0.001,0.001,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"58",0.987470802824772,0.755553987955045,0.438944311527013,0.604035296109336,0.887314305663996,0.868971054219823,0.727360250212919,0.950849426254588,0.875275663086318,0.949542905624052,0.902622595456137,1.14766561308499,1.10892333910229,0.952269919487337,0.577922730679509,1.10825140464142,0.970167435043568,1.09528062544477,0.980199900847298,0.001,0.001,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
